image	author	title	style	description
./images/1.jpg	AACHEN, Hans von	Allegory	Oil on copper	The painting, displaying the characteristic Mannerist style of the artist, is also known as The Triumph of Justice.
./images/2.jpg	AACHEN, Hans von	Bacchus, Ceres and Cupid	Oil on canvas	The representation of this group is related to the frequently depicted sentence by Terence: Sine Cerere et Baccho friget Venus - Without Ceres (bread) and Bacchus (wine) Venus freezes. Aachen gives the mythological figures the facial features of his family: his own, his wife and their son. The motif could allude to the famous picture of the Greek painter Zeuxis. He painted a boy with grapes so naturally that the birds pecked at the painted fruits.The nude figure of a woman viewed from behind, a favourite motif in Rudolfine art, is represented here in a sensually suggestive way. The elongation of the female body is characteristic of the excessively refined Mannerist art and culture prevalent at the court in Prague c. 1600 and can also be found in the work of von Aachen's contemporaries at court, BartholomÃ¤us Spranger and Joseph Heintz the Elder.
./images/3.jpg	AACHEN, Hans von	Joking Couple	Copperplate	At the end of the 16th century the court of Emperor Rudolph II in Prague was one of the most important art and cultural centre of Europe. The Emperor gathered together important artists: painters, sculptors, goldsmiths, who developed a characteristic style as important as that of the Fontainebleau school flowered at the same period in France. One component of the Rudolphean style was the painting of the Flemish Spranger, another the German Hans von Aachen and the third the Swiss Joseph Heintz.Aachen studied in Italy, he spent there 14 years and was known as a portraitist. He went to Munich and worked for the Bavarian Prince. He moved to Prague in 1592 and became court painter at the court of Rudolph II.In addition to mythological subjects he painted realistic genre pictures with two-three figures.
./images/4.jpg	AACHEN, Hans von	Portrait of Emperor Rudolf II	Oil on canvas	Rudolf II (1552-1612) was the son of the Holy Roman Emperor Maximilian II. He became King of Hungary in 1572 and King of Bohemia in 1575. Following the death of his father he also became Holy Roman Emperor and Archduke of Austria. His reign was a troubled time of great religious conflicts coupled with the external menace of the Turks. Unfortunately, politics was not a great interest of his. Instead he was familiar with a number of languages and was devoted to art and science, the latter including alchemy and astrology, a highly fashionable preoccupation at that time. He was also fascinated by magic and the occult. At the end of the 1590s mental illness rendered him incapable of governing his empire, which by that time was torn by disputes between Reformation and Counter-Reformation movements. As a result, in 1611, he was forced to cede the crown of Bohemia to his brother Matthias and he died soon afterwards.
./images/5.jpg	AACHEN, Hans von	Self-Portrait with a Glass of Wine	Oil on canvas	Hans von Aachen was an artist who fully embraced the self-portrait as a means of artistic expression. His earliest self-portrait was executed c. 1574, and he painted several other self-portraits during his career.
./images/6.jpg	AAGAARD, Carl Frederik	Deer beside a Lake	Oil on canvas	The painting is signed and dated 'C F Aagaard 1888' at lower left.
./images/7.jpg	AAGAARD, Carl Frederik	The Rose Garden	Oil on canvas	This painting is unusual in 19th century art in combining landscape with still-life. In the acutely observed flowers the artist has demonstrated his skills as an observer of nature, but in the more distant landscape. The two figures, possibly lovers, are framed by the forward garland but are almost incidental to the composition.
./images/8.jpg	ABADIA, Juan de la	The Archangel Michael	Wood	The archangel Michael was, like St. George the dragon-killer, one of the typically warlike saints so greatly approved in the age of chivalry. The Bible tells us that he fought with Satan for the body of Moses and we can read in the Apocalypse how he defeated the dragon with seven heads and ten horns. St. Michael was therefore looked upon as one of the principal patrons of the Church who, having overcome Satan, could protect all innocent souls from the Devil.This painting illustrates the somewhat provincial style of Juan de la Abadia of Huesca. The heritage of the Trecento can be seen in the delicate, girlish countenance of the saint and the brilliant tints of the wings, but blended with it is the elegance associated with the International Gothic style. The figures are wooden and lifeless and the artist's limited knowledge of anatomy may be seen in his representation of the soul; but the carefully arranged pattern of the floor creates the illusion of space, indicating that the artist was aware of the later developments of Gothic art and was to some extent influenced by early Renaissance art.
./images/13.jpg	ABBATE, NiccolÃÂ² dell'	Chimney breast	-	The chimney breast was realized by the workshop of NiccolÃ² dell' Abbate. It features figures, putti, flowers, fruit, and symbols (among them the sword symbolizing the constable's office) in trompe-l'oeil painting.
./images/15.jpg	ABBATE, NiccolÃÂ² dell'	Stag Hunt	Oil on canvas	"In a fabulous setting we see the last moments of a stag hunt. The very small size of the figures in the foreground does not prevent the artist from lingering over every detail of the elegant clothing, the hairstyles and the harness of the horses. We sense a refined climate of diversion that was certainly inspired by  the Estense court of the castle of Ferrara, from which ""Camerini"" this painting probably comes. The natural scenery, which shows the influence of Dosso Dossi's landscapes and numerous aspects of Flemish art, is lit up in the background by unreal flashes of light, oscillating between pale pink and gray-green, from which ruins emerge, the spires of fairytale works of architecture."
